H,M,S,draws
0,0,0,2.582879673516809e-305
0,0,1,2.5828796447991326e-305
0,0,2,2.5828796457893974e-305
0,0,3,2.582879646779662e-305
0,0,4,2.582879647769927e-305
0,0,5,2.5828796487601917e-305
0,0,6,2.5828796497504564e-305
0,0,7,2.5828796507407207e-305
0,0,8,2.5828796517309855e-305
0,0,9,2.58287965272125e-305
0,0,10,2.582879653711515e-305
0,0,11,2.58287965470178e-305
0,0,12,2.5828796556920445e-305
0,0,13,2.5828796566823093e-305
0,0,14,2.5828796576725736e-305
0,0,15,2.5828796586628384e-305
0,0,16,2.582879659653103e-305
0,0,17,2.582879660643368e-305
0,0,18,2.582879661633633e-305
0,0,19,2.582879662623898e-305
0,0,20,2.5828796636141627e-305
0,0,21,2.5828796646044275e-305
0,0,22,2.5828796655946917e-305
0,0,23,2.5828796665849565e-305
0,0,24,2.5828796675752213e-305
0,0,25,2.582879668565486e-305
0,0,26,2.582879669555751e-305
0,0,27,2.5828796705460156e-305
0,0,28,2.5828796715362804e-305
0,0,29,2.582879672526545e-305
0,0,30,2.5828796735168094e-305
0,0,31,2.582879644799133e-305
0,0,32,2.582879645789398e-305
0,0,33,2.5828796467796626e-305
0,0,34,2.582879647769957e-305
0,0,35,2.5828796487602215e-305
0,0,36,2.5828796497547674e-305
0,0,37,2.582879650745038e-305
0,0,38,2.5828796517352975e-305
0,0,39,2.582879652725562e-305
0,0,40,2.582879653715827e-305
0,0,41,2.582879654706092e-305
0,0,42,2.582879655696356e-305
0,0,43,2.582879656686621e-305
0,0,44,2.5828796576769154e-305
0,0,45,2.582879658667151e-305
0,0,46,2.5828796596531335e-305
0,0,47,2.582879660643398e-305
0,0,48,2.582879661633663e-305
0,0,49,2.582879662623928e-305
0,0,50,2.582879663614192e-305
0,0,51,2.582879664604457e-305
0,0,52,2.5828796655947216e-305
0,0,53,2.5828796665849864e-305
0,0,54,2.582879667575251e-305
0,0,55,2.582879668565516e-305
0,0,56,2.5828796695557807e-305
0,0,57,2.582879670546045e-305
0,0,58,2.5828796715363097e-305
0,0,59,2.5828796725265745e-305
0,1,0,2.582879673516839e-305
0,1,1,2.582879644799163e-305
0,1,2,2.5828796457894277e-305
0,1,3,2.5828796467796925e-305
0,1,4,2.582879647769957e-305
0,1,5,2.5828796487602215e-305
0,1,6,2.5828796497504863e-305
0,1,7,2.582879650740751e-305
0,1,8,2.582879651731016e-305
0,1,9,2.5828796527212806e-305
0,1,10,2.5828796537115454e-305
0,1,11,2.58287965470181e-305
0,1,12,2.5828796556920744e-305
0,1,13,2.582879656682339e-305
0,1,14,2.582879657672604e-305
0,1,15,2.5828796586628687e-305
0,1,16,2.5828796596531335e-305
0,1,17,2.582879660643398e-305
0,1,18,2.582879661633663e-305
0,1,19,2.582879662623928e-305
0,1,20,2.582879663614192e-305
0,1,21,2.582879664604457e-305
0,1,22,2.5828796655947216e-305
0,1,23,2.5828796665849864e-305
0,1,24,2.582879667575251e-305
0,1,25,2.582879668565516e-305
0,1,26,2.5828796695557807e-305
0,1,27,2.582879670546045e-305
0,1,28,2.5828796715363097e-305
0,1,29,2.5828796725265745e-305
0,1,30,2.582879673516839e-305
0,1,31,2.582879644799163e-305
0,1,32,2.5828796457894277e-305
0,1,33,2.5828796467796925e-305
0,1,34,2.582879647769928e-305
0,1,35,2.5828796487601927e-305
0,1,36,2.5828796497547386e-305
0,1,37,2.5828796507450094e-305
0,1,38,2.582879651735268e-305
0,1,39,2.582879652725533e-305
0,1,40,2.5828796537157977e-305
0,1,41,2.5828796547060624e-305
0,1,42,2.582879655696327e-305
0,1,43,2.582879656686592e-305
0,1,44,2.582879657676886e-305
0,1,45,2.5828796586671215e-305
0,1,46,2.582879659653104e-305
0,1,47,2.582879660643369e-305
0,1,48,2.5828796616336337e-305
0,1,49,2.5828796626238984e-305
0,1,50,2.582879663614163e-305
0,1,51,2.582879664604428e-305
0,1,52,2.582879665594693e-305
0,1,53,2.582879666584957e-305
0,1,54,2.582879667575222e-305
0,1,55,2.5828796685654866e-305
0,1,56,2.5828796695557513e-305
0,1,57,2.582879670546016e-305
0,1,58,2.582879671536291e-305
0,1,59,2.5828796725268264e-305
0,2,0,2.582879673517042e-305
0,2,1,2.582879644799373e-305
0,2,2,2.582879645789643e-305
0,2,3,2.582879646779908e-305
0,2,4,2.5828796477701733e-305
0,2,5,2.58287964876043e-305
0,2,6,2.5828796497506457e-305
0,2,7,2.5828796507409104e-305
0,2,8,2.582879651731175e-305
0,2,9,2.58287965272144e-305
0,2,10,2.5828796537116794e-305
0,2,11,2.582879654701944e-305
0,2,12,2.582879655692209e-305
0,2,13,2.5828796566824737e-305
0,2,14,2.5828796576727385e-305
0,2,15,2.5828796586630033e-305
0,2,16,2.582879659653268e-305
0,2,17,2.582879660643558e-305
0,2,18,2.5828796616338224e-305
0,2,19,2.582879662624087e-305
0,2,20,2.5828796636143514e-305
0,2,21,2.582879664604616e-305
0,2,22,2.582879665594881e-305
0,2,23,2.5828796665851457e-305
0,2,24,2.582879667575411e-305
0,2,25,2.582879668565675e-305
0,2,26,2.5828796695559405e-305
0,2,27,2.5828796705461653e-305
0,2,28,2.5828796715364205e-305
0,2,29,2.5828796725266853e-305
0,2,30,2.58287967351695e-305
0,2,31,2.5828796447992904e-305
0,2,32,2.5828796457895446e-305
0,2,33,2.5828796467798943e-305
0,2,34,2.5828796477658223e-305
0,2,35,2.5828796487560846e-305
0,2,36,2.58287964975061e-305
0,2,37,2.5828796507409625e-305
0,2,38,2.582879651731217e-305
0,2,39,2.582879652721427e-305
0,2,40,2.5828796537116617e-305
0,2,41,2.582879654702025e-305
0,2,42,2.58287965569229e-305
0,2,43,2.5828796566824505e-305
0,2,44,2.582879657672745e-305
0,2,45,2.5828796586630104e-305
0,2,46,2.58287965964897e-305
0,2,47,2.5828796606392345e-305
0,2,48,2.5828796616293617e-305
0,2,49,2.5828796626196264e-305
0,2,50,2.582879663609891e-305
0,2,51,2.5828796646002916e-305
0,2,52,2.5828796655905563e-305
0,2,53,2.5828796665809683e-305
0,2,54,2.5828796675710985e-305
0,2,55,2.5828796685614377e-305
0,2,56,2.5828796695516195e-305
0,2,57,2.582879670541876e-305
0,2,58,2.582879671532141e-305
0,2,59,2.5828796725224057e-305
0,3,0,2.5828796735126704e-305
0,3,1,2.582879644794994e-305
0,3,2,2.582879645785259e-305
0,3,3,2.5828796467755237e-305
0,3,4,2.5828796477657884e-305
0,3,5,2.5828796487560527e-305
0,3,6,2.5828796497463175e-305
0,3,7,2.582879650736582e-305
0,3,8,2.582879651726847e-305
